,qu
42.00%,78.37962963
42.10%,78.42592593
42.20%,78.44907407
42.30%,78.47222222
42.40%,78.49537037
42.50%,78.51851852
42.60%,78.54166667
42.70%,78.57638889
42.80%,78.61111111
42.90%,78.61111111
43.00%,78.65740741
43.10%,78.68055556
43.20%,78.7037037
43.30%,78.72685185
43.40%,78.75
43.50%,78.77777778
43.60%,78.81944444
43.70%,78.84259259
43.80%,78.86574074
43.90%,78.88888889
44.00%,78.91666667
44.10%,78.94444444
44.20%,78.97222222
44.30%,79
44.40%,79.02777778
44.50%,79.05092593
44.60%,79.07407407
44.70%,79.09722222
44.80%,79.13194444
44.90%,79.16666667
45.00%,79.18981481
45.10%,79.21296296
45.20%,79.23611111
45.30%,79.25925926
45.40%,79.30555556
45.50%,79.3287037
45.60%,79.35185185
45.70%,79.375
45.80%,79.40972222
45.90%,79.44444444
46.00%,79.46759259
46.10%,79.49074074
46.20%,79.51388889
46.30%,79.53703704
46.40%,79.56018519
46.50%,79.58333333
46.60%,79.61111111
46.70%,79.65277778
46.80%,79.67592593
46.90%,79.69907407
47.00%,79.72222222
47.10%,79.75
47.20%,79.77674074
47.30%,79.79166667
47.40%,79.81481481
47.50%,79.83796296
47.60%,79.86111111
47.70%,79.88888889
47.80%,79.93055556
47.90%,79.9537037
48.00%,79.97685185
48.10%,80
48.20%,80.02777778
48.30%,80.05555556
48.40%,80.08333333
48.50%,80.11111111
48.60%,80.13888889
48.70%,80.16203704
48.80%,80.18518519
48.90%,80.20833333
49.00%,80.24305556
49.10%,80.27777778
49.20%,80.27777778
49.30%,80.3125
49.40%,80.34722222
49.50%,80.36111111
49.60%,80.38888889
49.70%,80.41666667
49.80%,80.43981481
49.90%,80.46296296
50.00%,80.48611111
50.10%,80.50925926
50.20%,80.53240741
50.30%,80.55555556
50.40%,80.5787037
50.50%,80.60185185
50.60%,80.625
50.70%,80.64814815
50.80%,80.66666667
50.90%,80.69444444
51.00%,80.71759259
51.10%,80.72916667
51.20%,80.76388889
51.30%,80.78703704
51.40%,80.81018519
51.50%,80.83333333
51.60%,80.85648148
51.70%,80.87962963
